,titles,links,dates,contents
59,[제목 : [야놀자] 다른데가면됨 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=86,2021-03-20,"글 쓴 이는 아마도 SK바이오사이언스 주주였을지 싶네요??  지네가 갖고 있는 종목 주식은 한참 고평가된 주식도 좋다고 부풀려 주린이들 호구 만들어놓고, 일반 언론 기사에서 언급한 적정 시총에 있는 다른 종목 게시판에 와선 분탕질하고~~얼마 전부터 몇 몇 소수 SK바이오사이언스 주주들이 상장 날짜가 가까워오자  다른 종목으로 갈아타고자 야놀자 종목에 욕심나다 보니 옆집 증_플이나 게시판에 와서 말도 안되는 글을 싸지르고 있네요. 제가 애기하지 않아도 SK주주였던 사람 몇 몇 사람이 누구라는 건 본인들이 더 잘 알겁니다. 그렇게들 살지 마세요. 님들이 가졌던 주식이 소중했다면, 다른 사람이 갖고 있는 주식도 소중한 겁니다.  "
60,"[코멘트 : [야놀자] 너무웃긴게 남들 도와준답시고
시간투자해서 저렇게 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=87,2021-03-21,너무웃긴게 남들 도와준답시고시간투자해서 저렇게 글 쓴분의 노력에 박수를 보냅니�い빱�
61,[코멘트 : [야놀자] 와 그만큼 물량을 잠궈놓고있다는 뜻 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=89,2021-03-24,와 그만큼 물량을 잠궈놓고있다는 뜻
62,"[코멘트 : [야놀자] 지금 내부에서 고려중인 듯 합니다
우선적으로

1. ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=91,2021-04-10,지금 내부에서 고려중인 듯 합니다우선적으로1.실적발표2.주주총회 가 먼저 진행되어야할 듯
63,[코멘트 : [야놀자] 지금 매도하면. 바보겠죠? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=93,2021-04-11,지금 매도하면. 바보겠죠?
64,[제목 : [야놀자] 4월말 주총입니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=94,2021-04-18,주총안내문 왔는데월말쯤 되네요. 뭔가 얘기가 나왔으면좋겠네요
65,[제목 : [야놀자] 일단... ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=95,2021-04-19,주총가보면 아시겠지만정한안건만 이야기하고 끝이 맞습니다.질의응답 모 우리가 모 하고 있다보단 주주님들의 성원에 보답하고자 더 열심히하겠습니다가 끝이겠죠하지만 이건 분명한 듯 싶습니다.4월말 임시주총5월 초 예비심사이 코스로 가면 좋겠네요
66,[제목 : [야놀자] 주주총회도 있고 ipo 가 조만간일듯 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=96,2021-04-19,하네요. 여업집 9만 거래완료조만간 15만 될듯요
67,[제목 : [야놀자] 나스닥 얘기나오면 20만으로 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=98,2021-04-20,가치 볼줄 모르는 한국거래소 안가면 됨.   나스닥 가서 시총 20조받으면 됨
68,[코멘트 : [야놀자] 짐 분위기로는 진짜 10만원은 이번달이 끝일 듯 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=99,2021-04-20,짐 분위기로는 진짜 10만원은 이번달이 끝일 듯
69,[코멘트 : [야놀자] 십만 찍을거 같은데요. 여업집 ~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=100,2021-04-20,십만 찍을거 같은데요. 여업집 ~~
70,[제목 : [야놀자] 조만간 ipo 신청예정. 시총 20조 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=101,2021-04-21,"국내 1위의 여행·숙박 예약 플랫폼인 야놀자도 IPO를 준비하고 있다. 이르면 이달에 예비심사 청구서를 제출할 예정이다. 다만 원체 많은 대어가 쏟아지고 있는 탓에 상대적으로 주목을 덜 받는 느낌이다.시장에서 평가한 야놀자의 기업가치 5조원도 다른 예비 상장사와 비교해 다소 중량감이 떨어진다. 당장 지난주 예비심사를 청구한 크래프톤과 카카오뱅크는 30조원 이상의 몸값이 거론되고 있다. LG에너지솔루션은 예상 기업가치가 무려 100조원에 달한다.하지만 야놀자의 중장기 성장 전략과 사세 확장 추이를 면밀히 살펴보면 5조원은 과소평가된 가격이라는 사실을 어렵지 않게 알수 있다. 아울러 야놀자가 속한 여행·숙박 예약 플랫폼이 포스트 코로나 시대의 최대 수혜 업종으로 떠오르고 있는 점은 10조~20조원의 기업가치도 충분히 가능하다는 기대감을 갖게 만든다.야놀자는 최근 수년간 '슈퍼앱' 전략을 꾸준하게 추진하며 숙박 중심이던 플랫폼 영역을 레저·액티비티, 항공, 렌터카, 모바일 티켓, OTT 등으로 넓혔다. 인수 의사를 밝힌 요기요 M&A에 성공하면 음식 배달, 레스토랑 예약, 고객 웨이팅 솔루션도 추가로 장착한다.호텔 서비스형 소프트웨어(SaaS)는 미래를 책임질 핵심 먹거리로 꼽힌다. 야놀자는 클라우드를 기반으로 하는 SaaS 부문에서 글로벌 1, 2위를 다투는 지위를 확보하고 있다. 실제로 야놀자의 기업가치 산정에 참여한 IB는 대부분 SaaS의 지배력과 성장 가능성에 가장 높은 점수를 줬다.야놀자가 현재 추진하는 사업과 가장 유사한 방향성을 지닌 기업은 에어비앤비(Airbnb)와 메이투안디엔핑(Meituan Dianping)이 꼽힌다. 야놀자의 글로벌 OTA(Online Travel Agency) 버전으로 통하는 에어비앤비의 시가총액은 최근 110조원을 넘어섰다. 야놀자가 지향하는 롤모델인 메이투안디엔핑의 기업가치는 240조~250조원에 달한다.양사의 시가총액과 실적에 주가매출액비율(PSR)을 적용한 야놀자의 기업가치는 최소 10조~20조원이다. 이 가격이 가장 객관적이고 현실성 높은 몸값이라 할 수 있지 않을까. 시각을 조금만 달리하면 야놀자도 크래프톤, 카카오뱅크, SK IET, LG에너지솔루션 못지 않은 대어로 충분히 평가받을 수 있다."
71,[제목 : [야놀자] 매일매일 가격이 상승 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=102,2021-04-22,불과 저번 주말까진 8만원흑자전환 뜨고 9만 오늘은 10만...불과 4일만이라니...이젠 그날 그날 가격은 담날 찾아볼 수 도 없을 듯요 ㅠㅠ
72,[코멘트 : [야놀자] 진짜 나스닥 가나요? 왜이러지 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=103,2021-04-22,진짜 나스닥 가나요? 왜이러지
73,[제목 : [야놀자] 야놀자 두나무 등등 미국상장 줄섰다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=104,2021-04-27,오늘자 매일경제에야놀자는 미국 상장 검토중인데한국과 미국 듀얼 상장도 검토 기사나왓네요. 조만간 야놀자도 시총 20조 가네요
74,[제목 : [야놀자] 감사보고서는? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=105,2021-04-28,보통 3월에 다 나오는거 아닌가요?왜 아직 인지요
75,[제목 : [야놀자] 야놀자도 에어처럼 날자 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=106,2021-04-29,한국 상장하면 공모가만 14만원에시총은 20조이상 가야 정상이죠한국거래소 된장들 몸사리면바로 나스닥으로 가면 됨
76,[제목 : [야놀자] 야놀자는 한국씨티은행과 글로벌 사업확장을 위한 업무협약을 체결했다고 24일 밝혔다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=111,2021-05-24,"먼저, 야놀자는 글로벌 대형 은행인 씨티그룹의 글로벌 네트워크를 활용해 해외시장 경쟁력 강화에 나선다. 현재 170개국 3만여 개 이상의 고객사에 클라우드 기반 호텔 운영 솔루션을 제공 중인 야놀자는 씨티은행과의 전략적 업무제휴를 통해 라이선스 계약과 진출 국가를 확대한다는 계획이다. 한국씨티은행은 야놀자의 시장 이해력과 빅데이터를 활용해 호스피탈리티(Hospitality) 업계에 특화된 글로벌 결제 솔루션을 제공한다"
77,"[제목 : [야놀자] 단독]야놀자, '소프트뱅크 비전펀드'서 1조 투자유치 협의…나스닥 상장 추진 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=113,2021-05-26,"종합여가플랫폼 야놀자가 세계 최대 벤처 투자 펀드 '소프트뱅크 비전펀드'와 1조원 규모의 투자유치를 협의중이다. 야놀자는 이를 발판으로 미국 나스닥 시장 상장을 본격화할 방침이다.25일 IB업계에 따르면 야놀자가 손정의 회장이 이끄는 일본 소프트뱅크그룹 산하 비전펀드와 1조원 규모의 투자 유치 논의를 진행중인 것으로 전해졌다. 투자 유치가 성공적으로 마무리되면 야놀자는 비전펀드 투자 지원을 받는 국내 네 번째 기업이 된다. 앞서 비전펀드는 쿠팡(30억달러), 아이유노미디어(1억6000만달러), 뤼이드(1억7500만달러)에 투자를 집행했다."
78,[제목 : [야놀자] 구주까지 포함해서 2조라는 얘기도 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=115,2021-05-27,소뱅이 쿠팡같은데 투자하는 애들인데 한두푼 먹으려고 들어오는건 아닐테고.. 아쉬워서 구주로라도 1조 더 투자하려는거 보면 엄청나긴 하네요 아래 기사 본문 중 (한경 기사)손정의 일본 소프트뱅크그룹 회장이 ‘제2의 쿠팡’ 신화를 쓸 한국 벤처기업으로 ‘야놀자’를 점찍었다. 2조원을 투자해 글로벌 숙박·여행 플랫폼으로 키워 미국에 직상장시킨다는 시나리오다.26일 투자은행(IB)업계에 따르면 손 회장이 이끄는 세계 최대 벤처캐피털(VC)인 비전펀드는 한국 대표 숙박 플랫폼 야놀자에 2조원을 투자하기로 하고 막바지 협상 중이다. 거래가 마무리되면 비전펀드는 야놀자 지분 25~30%를 확보하게 된다. 구주와 신주에 각각 1조원을 투입할 예정이다.비전펀드의 한국 벤처 투자 규모로는 쿠팡(약 3조3500억원)에 이어 두 번째로 많은 액수다. 시장에서는 1조원가량을 투자할 것으로 예상했는데 그 두 배 수준의 ‘깜짝 투자’를 단행하는 것이다.
79,[제목 : [야놀자] 사실무근 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=116,2021-05-27,하한가
80,[코멘트 : [야놀자] 투자한데. ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=117,2021-05-28,투자한데.
81,[코멘트 : [야놀자] 온동네 뉴스 다 나왓다.  소프트뱅크 투자 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=118,2021-05-28,온동네 뉴스 다 나왓다.  소프트뱅크 투자
