date,price,kospi지수,누적투자금,기업가치,트래픽,버즈량(SNS),소비자 거래지수,소비자 거래건수,고용현황,입사자,퇴사자,선행종합지수(2015=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2015=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p).1,후행종합지수(2015=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(2020=100),생활물가지수,식품물가지수,상품,농축수산물,농산물,곡물,채소,과실,기타농산물,축산물,수산물,가공식품,신선식품,신선어개,신선채소,신선과실,신선식품제외,현재생활형편(전체),현재생활형편(여성),현재생활형편(40세미만),현재생활형편(40~50),현재생활형편(50~60),현재경기판단(전체),현재경기판단(여성),현재경기판단(40세미만),현재경기판단(40~50),현재경기판단(50~60),생활형편전망(전체),생활형편전망(여성),생활형편전망(40세미만),생활형편전망(40~50),생활형편전망(50~60),향후경기전망(전체),향후경기전망(여성),향후경기전망(40세미만),향후경기전망(40~50),향후경기전망(50~60),소비지출전망(전체),소비지출전망(여성),소비지출전망(40세미만),소비지출전망(40~50),소비지출전망(50~60),외식비지출전망(전체),외식비지출전망(여성),외식비지출전망(40세미만),외식비지출전망(40~50),외식비지출전망(50~60),소비자심리지수,전일대비kospi차이,kospi일일등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원),식료품업 코스피,유통업 코스피,운수창고업 코스피,보통휘발유,자동차용경유,Community_N,Community_P,News_N,News_P
2021-09-27,45800,3133.64,1,1,443000,262,73.8,378000,724,61,39,127.5,0,-6,-1.6,-0.3,0.9,-0.2,-1.2,-0.06,101.2,-0.4,5.6,-0.6,117.8,0.2,-0.4,0.2,0.4,0.4,-1,-0.1,0.2,100.1,-0.1,122,0.4,2.4,0.1,-0.5,0.2,0.1,104.4,106.7,103.17,104.23,106.42,104.21,112.01,111.43,109.78,113.58,110.03,110.95,118.13,100.45,102.47,109.16,100.6,113.58,110.26,102.9,91,89,96,92,89,78,73,81,82,78,96,96,100,96,96,94,91,97,97,96,109,111,118,115,105,93,92,103,95,90,104,8.4,0.27,1.75,15.03,1.24,3121.7,3146.35,3119.26,883229,12266967,2279894818,4198.29,418.95,2520.72,1643.93,1438.49,,,,
2021-09-28,45900,3097.92,1,1,443000,262,73.8,378000,724,61,39,127.5,0,-6,-1.6,-0.3,0.9,-0.2,-1.2,-0.06,101.2,-0.4,5.6,-0.6,117.8,0.2,-0.4,0.2,0.4,0.4,-1,-0.1,0.2,100.1,-0.1,122,0.4,2.4,0.1,-0.5,0.2,0.1,104.4,106.7,103.17,104.23,106.42,104.21,112.01,111.43,109.78,113.58,110.03,110.95,118.13,100.45,102.47,109.16,100.6,113.58,110.26,102.9,91,89,96,92,89,78,73,81,82,78,96,96,100,96,96,94,91,97,97,96,109,111,118,115,105,93,92,103,95,90,104,-35.72,-1.14,1.77,14.86,1.22,3133.4,3134.46,3095.72,894913,14658731,2254315886,4136.14,414.82,2484.12,1644.44,1439.03,,,,
2021-09-29,45900,3060.27,1,1,443000,262,73.8,378000,724,61,39,127.5,0,-6,-1.6,-0.3,0.9,-0.2,-1.2,-0.06,101.2,-0.4,5.6,-0.6,117.8,0.2,-0.4,0.2,0.4,0.4,-1,-0.1,0.2,100.1,-0.1,122,0.4,2.4,0.1,-0.5,0.2,0.1,104.4,106.7,103.17,104.23,106.42,104.21,112.01,111.43,109.78,113.58,110.03,110.95,118.13,100.45,102.47,109.16,100.6,113.58,110.26,102.9,91,89,96,92,89,78,73,81,82,78,96,96,100,96,96,94,91,97,97,96,109,111,118,115,105,93,92,103,95,90,104,-37.65,-1.22,1.8,14.68,1.21,3055.5,3069.04,3030.6,821558,15137008,2226722697,4079.47,408.5,2438.6,1645.12,1439.76,,,,
2021-09-30,44000,3068.82,1,1,443000,262,73.8,378000,724,61,39,127.5,0,-6,-1.6,-0.3,0.9,-0.2,-1.2,-0.06,101.2,-0.4,5.6,-0.6,117.8,0.2,-0.4,0.2,0.4,0.4,-1,-0.1,0.2,100.1,-0.1,122,0.4,2.4,0.1,-0.5,0.2,0.1,104.4,106.7,103.17,104.23,106.42,104.21,112.01,111.43,109.78,113.58,110.03,110.95,118.13,100.45,102.47,109.16,100.6,113.58,110.26,102.9,91,89,96,92,89,78,73,81,82,78,96,96,100,96,96,94,91,97,97,96,109,111,118,115,105,93,92,103,95,90,104,8.55,0.28,1.79,14.72,1.21,3054.87,3079.43,3046.43,885819,14942854,2231957338,4093.83,409.67,2378.64,1645.99,1440.85,,,,
2021-10-01,43000,3019.18,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-49.64,-1.62,1.82,14.48,1.19,3056.21,3062.6,3015.01,855482,12944006,2195489102,4029.14,401.19,2322.32,1648.21,1443.14,,,,
2021-10-05,42000,2962.17,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-57.01,-1.89,1.86,14.21,1.17,2998.17,2998.17,2940.59,840557,15315537,2153672546,4038.51,403.96,2277.49,1652.92,1448.18,0,0,0,1
2021-10-06,41800,2908.31,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-53.86,-1.82,1.89,13.95,1.15,2986.06,2993.47,2908.3,901722,15668592,2114932681,3986.79,396.95,2188.14,1656.81,1452.28,,,,
2021-10-07,41000,2959.46,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,51.15,1.76,1.86,14.2,1.17,2936.87,2961.53,2927.6,595382,11906737,2151410767,4064.66,401.98,2264.74,1661.16,1456.8,0,0,0,1
2021-10-08,40200,2956.3,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-3.16,-0.11,1.86,14.18,1.17,2977.82,2978.08,2949.01,668947,12634091,2150115811,4060.14,400.11,2194.85,1667.13,1462.87,0,0,0,1
2021-10-12,40400,2916.38,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-39.92,-1.35,1.88,13.99,1.15,2950.22,2950.94,2901.51,660181,12767650,2120560982,4012.37,393.29,2176.6,1685.07,1481.2,,,,
