date,price,전일 주가,일일등락률,kospi지수,kospi등락률(%),kospi대비 주가,주가하락세,누적투자금,기업가치,트래픽,버즈량(SNS),소비자 거래지수,소비자 거래건수,고용현황,입사자,퇴사자,선행종합지수(2015=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2015=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p).1,후행종합지수(2015=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(2020=100),생활물가지수,식품물가지수,상품,농축수산물,농산물,곡물,채소,과실,기타농산물,축산물,수산물,가공식품,신선식품,신선어개,신선채소,신선과실,신선식품제외,현재생활형편(전체),현재생활형편(여성),현재생활형편(40세미만),현재생활형편(40~50),현재생활형편(50~60),현재경기판단(전체),현재경기판단(여성),현재경기판단(40세미만),현재경기판단(40~50),현재경기판단(50~60),생활형편전망(전체),생활형편전망(여성),생활형편전망(40세미만),생활형편전망(40~50),생활형편전망(50~60),향후경기전망(전체),향후경기전망(여성),향후경기전망(40세미만),향후경기전망(40~50),향후경기전망(50~60),소비지출전망(전체),소비지출전망(여성),소비지출전망(40세미만),소비지출전망(40~50),소비지출전망(50~60),외식비지출전망(전체),외식비지출전망(여성),외식비지출전망(40세미만),외식비지출전망(40~50),외식비지출전망(50~60),소비자심리지수,현재지수,대비,등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원),식료품업 코스피,유통업 코스피,운수창고업 코스피,보통휘발유,자동차용경유,Community_N,Community_P,News_N,News_P,price_trend,price_seosonal,price_rolling5,price_rolling20,price_rolling60
2021-09-27,45800.0,45800.0,0.0,3133.64,0.27,0.27,1.0,1.0,1.0,443000.0,262.0,73.8,378000.0,724.0,61.0,39.0,127.5,0.0,-6.0,-1.6,-0.3,0.9,-0.2,-1.2,-0.06,101.2,-0.4,5.6,-0.6,117.8,0.2,-0.4,0.2,0.4,0.4,-1.0,-0.1,0.2,100.1,-0.1,122.0,0.4,2.4,0.1,-0.5,0.2,0.1,104.4,106.7,103.17,104.23,106.42,104.21,112.01,111.43,109.78,113.58,110.03,110.95,118.13,100.45,102.47,109.16,100.6,113.58,110.26,102.9,91.0,89.0,96.0,92.0,89.0,78.0,73.0,81.0,82.0,78.0,96.0,96.0,100.0,96.0,96.0,94.0,91.0,97.0,97.0,96.0,109.0,111.0,118.0,115.0,105.0,93.0,92.0,103.0,95.0,90.0,104.0,3133.64,8.4,0.27,1.75,15.03,1.24,3121.7,3146.35,3119.26,883229.0,12266967.0,2279894818.0,4198.29,418.95,2520.72,1643.93,1438.49,0.0,0.0,0.0,0.0,44371.42857142857,1.0016200150023675,44920.0,42020.0,42566.666666666664
2021-09-28,45900.0,45800.0,0.2183406114,3097.92,-1.14,-1.358340611,0.0,1.0,1.0,446966.7861264654,315.91365542188834,76.61909720215469,399333.8427979277,725.670794093569,56.45455025243735,45.18502588212586,127.50063562391159,0.0006697696174587088,-5.9478402416455545,-0.9852159036688558,-0.5181832578743594,1.094031723856773,-0.5064897441614075,-1.6481181610700277,-0.021115245592937648,101.11799597123144,-0.37143451385999293,5.435330262351431,-0.5994372886607472,117.88261149746853,0.22827897667447677,-0.3993111755936778,0.2815618954643668,0.684318425979104,0.4018212630140845,-0.8889465989815867,0.039882887217724615,0.1999330775071623,100.12794540254718,-0.04371922494057392,122.16516100915543,0.4279113398269664,2.4887434602319,0.1851425669007749,-0.42793867304616334,0.199917878993188,0.10000050386122314,104.70231760817981,106.70055138871969,103.2179915704986,104.27972485986226,106.26662925395772,104.25315755606013,111.17149710121319,109.85174393193284,109.25648136295808,109.51826903446424,110.40944560573548,110.41000289175786,118.1079624481544,100.39592646021201,102.71002653310288,107.64320928437402,100.5199183873022,109.49007637022385,110.64272910814213,103.0208393529283,91.2781508682227,89.55287276608621,96.27926178055151,91.99011522621673,89.266581721571,78.55233892526107,74.12067473193792,81.55297513692169,82.54744044669097,78.5489508624213,96.56152052264083,96.27882115444326,100.28391452485396,96.55263169324974,96.55193783528483,94.55095454846159,91.83515353109912,96.13780965338,97.55695428981367,96.26683535258596,109.8196108090802,111.54597929812583,118.25195289304921,115.53535000406893,106.10393530611013,93.81806622582232,93.39938019088069,102.69673042492711,95.81008672958593,91.09715726221143,104.82931921482572,3097.92,-35.72,-1.14,1.77,14.86,1.22,3133.4,3134.46,3095.72,894913.0,14658731.0,2254315886.0,4136.14,414.82,2484.12,1644.44,1439.03,0.0,0.0,0.0,0.0,44371.42857142857,0.9968359880354554,44920.0,42020.0,42566.666666666664
2021-09-29,45900.0,45900.0,0.0,3060.27,-1.22,-1.22,0.0,1.0,1.0,450789.04816862044,365.5515405625178,79.22546293620626,419111.79039723694,727.2277254580921,52.272733669916455,50.91336784283449,127.50084749854877,0.0008930261566116116,-5.897120322194073,-0.41362120489180765,-0.7242443438324792,1.258708965142364,-0.7919863255485433,-2.06415754809337,0.015179672542749793,101.04066129497525,-0.34524601847999054,5.280440349801907,-0.5992497182143295,117.96014866329136,0.25437196889930236,-0.39908156745823703,0.35874919395248905,0.9457579013054721,0.402428350685446,-0.7852621319754489,0.1698438496236328,0.19991077000954974,100.15392720339625,0.008374366745901437,122.3202146788739,0.45388178643595517,2.5683246136425333,0.2635234225343665,-0.35391823072821776,0.19989050532425065,0.10000067181496419,104.98642347757311,106.70073518495958,103.26398876066479,104.32796647981633,106.12550567194363,104.29587674141351,110.39199613495092,108.38565857591044,108.76864181727746,105.76102537928566,110.74592747431397,109.90500385567714,118.08394993087252,100.34956861361601,102.9350353774705,106.23594571249869,100.4498911830696,105.70676849363178,110.9819721441895,103.13445247057106,91.53753449096358,90.07049702144828,96.53901570740202,91.9868203016223,89.52210896209468,79.06978523368144,75.1608996425839,82.07063351589558,83.0632539289213,79.06526781656173,97.08202736352112,96.53842820592436,100.54521936647194,97.07017559099967,97.06925044704644,95.06793939794878,92.6135380414655,95.35041287117332,98.0759390530849,96.52244713678127,110.59281441210693,112.06130573083445,118.50260385739892,116.04713333875858,107.13858040814682,94.59075496776309,94.69917358784093,102.42897389990281,96.58011563944791,92.12954301628187,105.60575895310096,3060.27,-37.65,-1.22,1.8,14.68,1.21,3055.5,3069.04,3030.6,821558.0,15137008.0,2226722697.0,4079.47,408.5,2438.6,1645.12,1439.76,0.0,0.0,0.0,0.0,44371.42857142857,0.9971181969438278,44920.0,42020.0,42566.666666666664
2021-09-30,44000.0,45900.0,-4.139433551,3068.82,0.28,4.419433551,1.0,1.0,1.0,454466.78612646536,410.91365542188834,81.61909720215469,437333.84279792773,728.670794093569,48.45455025243734,56.18502588212587,127.5006356239116,0.0006697696174587088,-5.847840241645556,0.11478409633114434,-0.9181832578743595,1.394031723856773,-1.0564897441614074,-2.448118161070028,0.048884754407062345,100.96799597123145,-0.3214345138599929,5.13533026235143,-0.5994372886607472,118.03261149746854,0.27827897667447676,-0.39931117559367774,0.4315618954643668,1.184318425979104,0.4018212630140845,-0.6889465989815868,0.2898828872177246,0.1999330775071623,100.1779454025472,0.05628077505942609,122.46516100915542,0.4779113398269663,2.6387434602319004,0.3351425669007749,-0.2779386730461634,0.19991787899318797,0.10000050386122314,105.25231760817982,106.7005513887197,103.3079915704986,104.37472485986225,105.99662925395772,104.33815755606012,109.6714971012132,107.03174393193284,108.3164813629581,102.30826903446425,111.0394456057355,109.43500289175788,118.05796244815438,100.31092646021202,103.14502653310288,104.93820928437403,100.38991838730222,102.23007637022386,111.27772910814213,103.2408393529283,91.77815086822268,90.55287276608621,96.77926178055151,91.99011522621673,89.766581721571,79.55233892526108,76.12067473193792,82.55297513692169,83.54744044669097,79.54895086242131,97.56152052264085,96.77882115444329,100.78391452485396,97.55263169324975,97.55193783528485,95.55095454846159,93.33515353109912,94.63780965338,98.55695428981369,96.76683535258597,111.31961080908022,112.54597929812586,118.7519528930492,116.53535000406895,108.10393530611012,95.31806622582232,95.89938019088069,102.19673042492713,97.31008672958593,93.09715726221141,106.32931921482573,3068.82,8.55,0.28,1.79,14.72,1.21,3054.87,3079.43,3046.43,885819.0,14942854.0,2231957338.0,4093.83,409.67,2378.64,1645.99,1440.85,0.0,0.0,0.0,0.0,44371.42857142857,1.0041009706947641,44920.0,42020.0,42566.666666666664
2021-10-01,43000.0,44000.0,-2.272727273,3019.18,-1.62,0.6527272727,1.0,1.0,1.0,457999.99999999994,452.0,83.8,454000.0,730.0,45.0,61.00000000000001,127.5,6.848713144653664e-20,-5.8,0.6000000000000001,-1.1000000000000003,1.5,-1.2999999999999998,-2.8,0.08,100.89999999999999,-0.29999999999999993,5.0,-0.6,118.10000000000001,0.3,-0.4,0.5,1.4,0.39999999999999997,-0.6,0.4,0.2,100.2,0.10000000000000002,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.50000000000001,106.7,103.35,104.42000000000002,105.88,104.37999999999998,109.01,105.78999999999999,107.89999999999999,99.16,111.29,109.0,118.03000000000002,100.28000000000002,103.34,103.74999999999999,100.34,99.05999999999999,111.53,103.33999999999999,92.00000000000001,91.0,97.00000000000001,92.0,90.0,80.0,77.0,83.0,83.99999999999999,80.0,98.0,97.00000000000001,101.0,98.0,97.99999999999999,96.0,94.0,94.0,98.99999999999999,97.00000000000001,112.00000000000001,112.99999999999999,119.00000000000001,117.0,109.0,96.0,97.0,102.00000000000001,98.0,93.99999999999999,107.0,3019.18,-49.64,-1.62,1.82,14.48,1.19,3056.21,3062.6,3015.01,855482.0,12944006.0,2195489102.0,4029.14,401.19,2322.32,1648.21,1443.14,0.0,0.0,0.0,0.0,43971.42857142857,0.9993996211368666,44920.0,42020.0,42566.666666666664
2021-10-02,43000.0,44000.0,-2.272727273,3019.18,-1.62,0.6527272727,1.0,1.0,1.0,461388.6897892245,488.8105742968528,85.7681713297422,469110.262003454,731.215343177385,41.90908291260443,65.35829019645692,127.49894062681402,-0.0011162826957645128,-5.753599597257409,1.0420265061147598,-1.2696945702094016,1.5766137935720452,-1.5225170930643208,-3.1198030648832877,0.10852540932156278,100.83667338128097,-0.28094247690001184,4.874449562747617,-0.6009378522320882,118.16231417088578,0.3195350388758721,-0.4011480406772038,0.5640635075593888,1.5928026233681603,0.39696456164319255,-0.5184223350306889,0.500195187970459,0.20011153748806287,100.2200909957547,0.13953204156762325,122.72473165140764,0.520147766955056,2.7520942329468343,0.458095721832042,-0.12010221158972785,0.20013686834468675,0.09999916023129479,105.72947065303364,106.69908101880054,103.390014049169,104.46379190022962,105.77561791007048,104.42140407323313,108.40750483131139,104.66042678011196,107.51919772840321,96.31621827589295,111.49759065710755,108.5999951804036,118.00006258640938,100.25678923298001,103.51995577816189,102.67131785937664,100.30013602116303,96.1965393829603,111.73878481976314,103.43193441178619,92.20308188629558,91.41187872318966,97.2012303657475,92.01647462297214,90.22236379738167,80.41276845789822,77.79887544677013,83.41170810513053,84.42093258884839,80.41841522929785,98.39746579559862,97.20196474259457,101.1934757919101,98.41228051125044,98.41343694119195,96.41507575256404,94.60807744816815,93.43698391103337,99.40507618364389,97.22194107902344,112.63398198486635,113.42336783645696,119.24674517825137,117.44108332655178,109.82677448981649,96.63655629029617,98.00103301519886,101.83878262512151,98.64985545069014,94.83807122964767,107.61780130862381,3019.18,-49.64,-1.62,1.82,14.48,1.19,3056.21,3062.6,3015.01,855482.0,12944006.0,2195489102.0,4029.14,401.19,2322.32,1648.21,1443.14,0.0,0.0,0.0,0.0,43414.28571428571,1.000077944439921,44360.0,42020.0,42566.666666666664
2021-10-03,43000.0,44000.0,-2.272727273,3019.18,-1.62,0.6527272727,1.0,1.0,1.0,464632.8554941386,521.3453783124467,87.52361119138125,482664.6288082894,732.3168236257237,39.18179899025063,69.25989647149656,127.49745750435365,-0.0026790784698348326,-5.708639033417781,1.4408636146754232,-1.427266968502563,1.6238731045729082,-1.7240410233543702,-3.40752735571989,0.13446098237175064,100.77801611507428,-0.2642619445600284,4.7586789505942795,-0.6022508453570115,118.21955401012585,0.336884093302093,-0.402755297625289,0.623752418142533,1.762726296083584,0.39271494794366196,-0.44421360407365307,0.5904684511291017,0.20026768997135086,100.23821838981125,0.17487689976229576,122.8393559633783,0.5383546406921346,2.795026159072401,0.5094297323969007,-0.03824530781534668,0.20032848402724812,0.09999798455510747,105.94072956728073,106.69779444512125,103.4280337180056,104.50610056055105,105.68348298416913,104.46236977575948,107.86401159514728,103.64302427226866,107.17407454816767,93.77692386214304,111.66221757705809,108.23498843296859,117.9681502073825,100.24129415915198,103.6848938675885,101.7021628625039,100.2703264507912,93.63969451910465,111.90408356743151,103.51664258828681,92.38739652710932,91.78850893565516,97.38295287779398,92.0395390951331,90.43367311371598,80.79064429895571,78.51730107224829,83.78809945231325,84.81023821323612,80.80419655031481,98.75391790943665,97.38471538222691,101.3643419005842,98.78947322700104,98.79224865886066,96.79618180615365,95.15938587560353,92.94876138648002,99.7721828407453,97.43265858965619,113.22155676367922,113.81608280749666,119.49218842780323,117.85859998372425,110.58425877555953,97.22773509671077,98.90247923647722,101.71307830029158,99.2596530816563,95.61137095115436,108.18272314069712,3019.18,-49.64,-1.62,1.82,14.48,1.19,3056.21,3062.6,3015.01,855482.0,12944006.0,2195489102.0,4029.14,401.19,2322.32,1648.21,1443.14,0.0,0.0,0.0,0.0,42828.57142857143,1.0008472637467976,43780.0,42020.0,42566.666666666664
2021-10-04,43000.0,44000.0,-2.272727273,3019.18,-1.62,0.6527272727,1.0,1.0,1.0,467732.49711474247,549.6044120467816,89.06631958491717,494663.1004145064,733.3044413450164,36.81814823293859,72.70481882511896,127.49555063261887,-0.00468838732221096,-5.665118308481115,1.7965113256819905,-1.572717194879485,1.6417779330025892,-1.9045717908701476,-3.6631728725098065,0.15780671915056363,100.72402820137998,-0.24995840298004962,4.652688163539988,-0.6039389793747699,118.27171951772021,0.3520471632786627,-0.4048217708442557,0.6790667317494327,1.909771018146272,0.3872511589014084,-0.37737380712889285,0.6708197894759278,0.20046845744986397,100.25438218216966,0.20603457458401753,122.94387293591198,0.5546206212112355,2.828795778376701,0.5540020316945761,0.04557071132314339,0.2005748470476842,0.09999647297143806,106.13377674274125,106.69614027896218,103.46405900650977,104.5469259809643,105.60359522229598,104.50289710757907,107.37952029150772,102.73779247647013,106.8646304592934,91.54211675875028,111.78388075985163,107.90497975769503,117.93426286291933,100.23351477851594,103.83481426827986,100.8425350093818,100.2505712888846,91.38946540843314,112.02589624300512,103.5941245295019,92.55294392244129,92.1298906373965,97.54516753613945,92.06919341648292,90.63392794900297,81.13362752317249,79.1552768764345,84.12917404154815,85.1679168731632,81.1573439630509,99.06935634151411,97.54825191889708,101.51259832602233,99.13157814725179,99.13643515300613,97.14331816076889,95.65392528230616,92.53533242634003,100.10131997130426,97.6321525318983,113.76272433643861,114.17814491311913,119.73632974865563,118.25254997151744,111.27245285722915,97.77353641924381,99.7043386638351,101.62288702551024,99.82939289289848,96.31989916452012,108.69476549621996,3019.18,-49.64,-1.62,1.82,14.48,1.19,3056.21,3062.6,3015.01,855482.0,12944006.0,2195489102.0,4029.14,401.19,2322.32,1648.21,1443.14,0.0,0.0,0.0,0.0,42399.99999999999,1.0016200150023675,43200.0,42020.0,42566.666666666664
2021-10-05,42000.0,43000.0,-2.325581395,2962.17,-1.89,0.4355813953,1.0,1.0,1.0,470687.61465103616,573.5876754998577,90.39629651034997,505105.67682210496,734.178196335263,34.81813064066833,75.69305725732414,127.49322001160971,-0.007144209252892891,-5.623037422447413,2.1089696391344614,-1.7060452493401674,1.6303282788610882,-2.064109395611654,-3.8867396152530387,0.1785626196580017,100.67470964019807,-0.23803185216007564,4.556477201584745,-0.6060022542853637,118.31881069366892,0.36502424880558126,-0.4073474603341039,0.7300064483800879,2.0339367895562237,0.3805731945164319,-0.3179029441964081,0.7412492030109378,0.20071383992360223,100.26858237282997,0.23300506603278862,123.03828256900876,0.5689457085123588,2.853403090859735,0.5918126197250683,0.13134584582574232,0.20087595740599495,0.09999462548028656,106.30861217941523,106.6941185203233,103.49808991468157,104.58626816146942,105.53595462445101,104.54298606869193,106.95403092039273,101.94473139271639,106.59086546178041,89.61179696571473,111.86258020548819,107.60996915458291,117.89840055301993,100.2334510910719,103.96971698023596,100.09243430001038,100.24087053544318,89.44585205094573,112.104222846484,103.66438023543147,92.69972407229147,92.43602382841372,97.68787434078392,92.10543758702157,90.82312830324263,81.44171813054855,79.71280285932875,84.4349318728353,85.49396856862964,81.47785746750614,99.34378109183103,97.69257435260509,101.63824506822452,99.43859527200271,99.44599642362839,97.45648481640974,96.09169566827605,92.1966970306134,100.39248757532079,97.8204229057498,114.25748470314456,114.50955415332437,119.9791691408086,118.62293328993132,111.89135673482538,98.27396025789534,100.40661129727253,101.56820880077751,100.35907488441676,96.96365586974495,109.15392837519232,2962.17,-57.01,-1.89,1.86,14.21,1.17,2998.17,2998.17,2940.59,840557.0,15315537.0,2153672546.0,4038.51,403.96,2277.49,1652.92,1448.18,0.0,0.0,0.0,1.0,42000.0,0.9968359880354554,42800.0,42020.0,42566.666666666664
2021-10-06,41800.0,42000.0,-0.4761904762,2908.31,-1.82,-1.343809524,0.0,1.0,1.0,473498.20810301957,593.2951686716749,91.51354196767963,513992.35803108505,734.9380885964637,33.18174621343984,78.22461176811206,127.49046564132615,-0.010046544261880628,-5.582396375316676,2.3782385550328367,-1.82725113188461,1.589524142148405,-2.2026538375788878,-4.078227583949586,0.19672868389406487,100.63006043152855,-0.22848229210010634,4.470046064728547,-0.6084406700887928,118.36082753797191,0.3758153498828486,-0.4103323660948336,0.7765715680344984,2.1352236103134397,0.3726810547887323,-0.26580101527619887,0.8017566917341311,0.20100383739256564,100.28081896179215,0.25578837410860894,123.12258486266856,0.5813299025955047,2.8688480965215017,0.6228614964883772,0.21908009569245016,0.20123181510218038,0.09999244208165298,106.46523587730266,106.69172916920465,103.53012644252095,104.62412710206635,105.4805611906342,104.58263665909803,106.58754348180224,101.26384102100742,106.35277955562869,87.98596448303634,111.89831591396776,107.34995662363221,117.86056327768426,100.24110309681986,104.08960200345682,99.45186073438958,100.24122419046697,87.80885444664241,112.13906337786813,103.72740970607549,92.82773697665986,92.7069085087068,97.81107329172737,92.14827160674908,91.00127417643493,81.71491612108389,80.18987902093104,84.70537294617463,85.78839329963542,81.76573706368052,99.57719216038738,97.81768268335088,101.7412821271907,99.71052460125382,99.72093247072742,97.7356817730762,96.47269703351317,91.93285519930006,100.64568565279484,97.99746971121064,114.70583786379702,114.81031052811238,120.22070660426208,118.96974993896592,112.44097040834818,98.72900661266532,101.0092971367895,101.54904362609335,100.84869905621105,97.54264106682884,109.56021177761419,2908.31,-53.86,-1.82,1.89,13.95,1.15,2986.06,2993.47,2908.3,901722.0,15668592.0,2114932681.0,3986.79,396.95,2188.14,1656.81,1452.28,0.0,0.0,0.0,0.0,41600.0,0.9971181969438278,42560.0,42020.0,42566.666666666664
