구분,보통휘발유,자동차용경유
2022. 3. 13,1975.36,1872.63
2022. 3. 14,1988.04,1892.42
2022. 3. 15,2000.95,1912.14
2022. 3. 16,2004.23,1917.89
2022. 3. 17,2003.42,1917.35
2022. 3. 18,2002.56,1917.35
2022. 3. 19,2002.13,1917.14
2022. 3. 20,2002.18,1917.39
2022. 3. 21,2002.12,1917.82
2022. 3. 22,2001.84,1917.89
2022. 3. 23,2001.72,1918.25
2022. 3. 24,2001.81,1918.92
2022. 3. 25,2001.92,1919.65
2022. 3. 26,2000.65,1919.15
2022. 3. 27,2000.85,1919.61
2022. 3. 28,2001.15,1920.44
2022. 3. 29,2000.45,1920.32
2022. 3. 30,1999.44,1919.72
2022. 3. 31,1998.39,1918.84
2022. 4. 1,1996.11,1916.89
2022. 4. 2,1994.54,1915.18
2022. 4. 3,1993.97,1914.62
2022. 4. 4,1992.3,1913.19
2022. 4. 5,1990.23,1911.37
2022. 4. 6,1988.81,1910.43
2022. 4. 7,1987.04,1909.18
2022. 4. 8,1984.87,1907.86
2022. 4. 9,1982.9,1906.17
2022. 4. 10,1982.06,1905.5
2022. 4. 11,1980.41,1904.54
2022. 4. 12,1976.94,1902.53
2022. 4. 13,1974.21,1900.84
2022. 4. 14,1972.26,1899.67
2022. 4. 15,1970.42,1899.2
2022. 4. 16,1969.26,1898.83
2022. 4. 17,1968.85,1898.62
2022. 4. 18,1968.37,1899.04
2022. 4. 19,1967.79,1899.54
2022. 4. 20,1967.3,1900.24
2022. 4. 21,1966.82,1900.7
2022. 4. 22,1966.64,1901.65
2022. 4. 23,1966.5,1902.33
2022. 4. 24,1966.66,1902.69
2022. 4. 25,1967.62,1906.16
2022. 4. 26,1968.2,1908.09
2022. 4. 27,1968.74,1909.86
2022. 4. 28,1969.9,1911.81
2022. 4. 29,1971.64,1915.25
2022. 4. 30,1974.77,1920.52
2022. 5. 1,1954.8,1908.76
2022. 5. 2,1944.63,1904.81
2022. 5. 3,1937.99,1903.93
2022. 5. 4,1934.47,1906.66
2022. 5. 5,1932.2,1910.34
2022. 5. 6,1931.69,1914.2
2022. 5. 7,1933.32,1920.01
2022. 5. 8,1935.93,1924.7
2022. 5. 9,1938.49,1931.32
2022. 5. 10,1943.79,1941.46
2022. 5. 11,1946.11,1947.59
2022. 5. 12,1948.69,1953.29
2022. 5. 13,1951.7,1959.24
2022. 5. 14,1954.7,1964.02
2022. 5. 15,1956.42,1966.48
2022. 5. 16,1958.73,1970.51
2022. 5. 17,1963.26,1976.49
2022. 5. 18,1967.33,1981.61
2022. 5. 19,1972.11,1986.76
2022. 5. 20,1977.39,1990.99
2022. 5. 21,1982.53,1994.32
2022. 5. 22,1985.07,1995.79
2022. 5. 23,1988.77,1998.38
2022. 5. 24,1994.77,2000.93
2022. 5. 25,1998.59,2002.68
2022. 5. 26,2001.53,2003.85
2022. 5. 27,2004.55,2005.14
2022. 5. 28,2007.62,2005.62
