,titles,links,dates,contents
26,[제목 : [이브이알스튜디오] 정답입니다.너무 저평가입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=295,2021-05-21,
27,[제목 : [이브이알스튜디오] 2021년 결과가 나오기 시작 한답니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=296,2021-05-21,년말에 5만원 이상 예상합니다
28,[제목 : [이브이알스튜디오] 시총 23조 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=297,2021-05-21,크래프톤 잡으러 갑니다
29,[코멘트 : [이브이알스튜디오] 바이오주로 따지면 파이프라인 다수 보유현재 임상 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=298,2021-05-21,바이오주로 따지면 파이프라인 다수 보유현재 임상 3상 진행 중 인걸로 보면 될겁니다신약 성공하는거 보다 몇 십배 성공 확률이 높죠
30,[제목 : [이브이알스튜디오] 2021년 결과가 나오기 시작 한답니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=299,2021-05-21,어떤결과물을 말씀하시는건가요?게임? 상장?
31,[코멘트 : [이브이알스튜디오] 상장게임메타버스 XR콘텐츠 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=300,2021-05-21,상장게임(국내최고)메타버스 XR콘텐츠
32,[제목 : [이브이알스튜디오] 상장게임메타버스 XR콘텐츠 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=301,2021-05-21,게임은 21년은 너무 빠르지 않나요?빨리 나오면 좋지만 저때는 안나올꺼같은데제가 잘못 알고있는건가요?
33,[제목 : [이브이알스튜디오] 1만6천원기준 시가총액 1200억정도입니다; ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=302,2021-05-21,
34,"[코멘트 : [이브이알스튜디오] 520만주 아닌가요?
총 주식수 ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=303,2021-05-21,520만주 아닌가요?총 주식수
35,[제목 : [이브이알스튜디오] 현재743만주입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=304,2021-05-21,투자받았으니 주식수가 늘어났지요
36,[제목 : [이브이알스튜디오] 비싸보입니다.  이정도는. 게임출시도 없는데. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=305,2021-05-23,
37,[코멘트 : [이브이알스튜디오] 신약출시 하면 바이오 제약주 주가는 이미 달에 가 있 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=306,2021-05-24,신약출시 하면 바이오 제약주 주가는 이미 달에 가 있겠죠지금 이브이알은 임상 3상 진행중으로 보시면 됩니다신약 성공 확률보다 몇십배 높은 게임 성공 확률더구나 국내 최고의 게임 개발 능력 보유자들이 이브이알에 포진하고 있죠
38,[제목 : [이브이알스튜디오] 오늘자 매일경제 4~5 면 기사 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=307,2021-05-26,여의도를 가상게임 공간으로 디지털 휴먼 전문 기업 이브이알스튜디오는 흥미로운 메타버스 프로젝트를 준비하고 있다.이 회사가 개발한 디지털 휴먼 시라 는 댄스 커버 영상에서 놀라운 완성도를 보여줘 호평을 받았다.이브이알스튜디오가 준비중인 프로젝트 TH는 4.5km2 에 달하는 여의도 전체를 메타버스 세계로 제작한 가상의 여의도에서 벌어지는 테러 사건을 다룬다...........
39,[제목 : [이브이알스튜디오] 16000원에 물량을 쓸어가는 주체가 누군지 궁금하네 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=308,2021-05-26,
