,보통휘발유,실내등유,보일러등유,자동차용 경유
2011.11,1981.02,1365.43,-,1788.03
2011.12,1943,1371.75,-,1792.34
2012.01,1955.08,1378.07,-,1805.14
2012.02,1986.54,1391.03,-,1828.8
2012.03,2029.95,1409.77,-,1853.55
2012.04,2058.68,1420.28,-,1865.56
2012.05,2035.76,1411.04,-,1839.61
2012.06,1968.78,1387.09,-,1777.7
2012.07,1901.38,1360.8,-,1726.59
2012.08,1971.31,1376.69,-,1784.78
2012.09,2024.45,1407.41,-,1836.55
2012.10,2005.73,1408.63,-,1820.8
2012.11,1955.99,1393.19,-,1777.65
2012.12,1935.58,1380.79,-,1759.92
2013.01,1924.55,1373.84,-,1749.59
2013.02,1952.49,1386.17,-,1766.73
2013.03,1986.49,1399.99,-,1785.96
2013.04,1949.39,1383.34,-,1745.21
2013.05,1899.89,1356.16,-,1699.44
2013.06,1901.97,1350.95,-,1701.02
2013.07,1933.09,1356.93,-,1729.69
2013.08,1947.65,1359.29,-,1743.62
2013.09,1934.56,1359.26,-,1734.29
2013.10,1903.16,1353.13,-,1708.68
2013.11,1879.99,1350.13,-,1692.86
2013.12,1881.14,1352.15,-,1699.13
2014.01,1886.35,1352.66,-,1705.09
2014.02,1880.72,1349.25,-,1698.49
2014.03,1880.81,1345.04,-,1696.03
2014.04,1875.88,1334.95,-,1688.93
2014.05,1869.49,1327.66,-,1680.9
2014.06,1861.28,1321.56,-,1670.23
2014.07,1856.59,1316.23,-,1661.47
2014.08,1842.01,1307.17,-,1644.45
2014.09,1814.2,1289.12,-,1618.07
2014.10,1781.07,1268.64,-,1584.95
2014.11,1730.16,1227.02,-,1534.25
2014.12,1652.23,1162.73,-,1461.04
2015.01,1504.82,1039.71,-,1330.47
2015.02,1439.09,966.83,-,1277.12
2015.03,1507.7,983.17,-,1326.82
2015.04,1507.44,970.68,-,1320.18
2015.05,1542.2,967.66,-,1343.53
2015.06,1580.03,971.34,-,1368.8
2015.07,1576.02,967.9,-,1354.65
2015.08,1544.49,946.48,-,1307.77
2015.09,1511.5,915.45,-,1263.79
2015.10,1498.67,902.71,-,1251.92
2015.11,1473.58,890.94,-,1234.95
2015.12,1432.92,859.57,-,1211.03
2016.01,1385.25,807.92,-,1157.33
2016.02,1351.65,764.2,-,1101.12
2016.03,1350.13,755.88,-,1103.15
2016.04,1361.74,759.42,-,1121.36
2016.05,1388.74,764.28,-,1157.91
2016.06,1437.57,787.89,-,1225.25
2016.07,1437.15,792.45,-,1228.37
2016.08,1411.69,787.84,-,1207.22
2016.09,1408.2,784.28,-,1203.04
2016.10,1416.6,789.5,-,1211.14
2016.11,1426.95,800.15,-,1222.73
2016.12,1454.61,818.93,-,1249.65
2017.01,1507.88,857.54,-,1300.18
2017.02,1516.65,864.61,-,1307.5
2017.03,1506.81,861.77,-,1297.28
2017.04,1487.54,853.28,-,1277.84
2017.05,1481.18,846.89,-,1271.39
2017.06,1461.57,840.43,-,1251.47
2017.07,1438.62,831.33,-,1229.81
2017.08,1451.82,832.12,-,1244.87
2017.09,1479.66,837.99,-,1271.01
2017.10,1504.49,848.05,-,1295.61
2017.11,1521.11,863.58,-,1313.02
2017.12,1540.27,884.35,-,1332.35
2018.01,1551.76,896.48,-,1344.93
2018.02,1564.55,909.49,-,1360.41
2018.03,1557.85,908.93,-,1354.58
2018.04,1551.33,906.95,-,1349.06
2018.05,1580.29,918.85,-,1380.24
2018.06,1609.08,938.83,-,1410.01
