iter	Passed	Remaining
414	3195	4504
415	3206	4501
416	3218	4499
417	3229	4496
418	3234	4485
419	3242	4477
420	3250	4469
421	3256	4460
422	3265	4454
423	3277	4452
424	3288	4449
425	3298	4444
426	3313	4446
427	3325	4444
428	3333	4436
429	3344	4433
430	3364	4441
431	3378	4441
432	3393	4444
433	3406	4442
434	3419	4441
435	3431	4438
436	3438	4429
437	3450	4427
438	3461	4423
439	3471	4418
440	3485	4418
441	3496	4414
442	3511	4414
443	3516	4402
444	3521	4392
445	3529	4384
446	3537	4375
447	3543	4366
448	3551	4358
449	3557	4347
450	3562	4337
451	3568	4325
452	3574	4316
453	3579	4304
454	3585	4294
455	3590	4283
456	3596	4272
457	3601	4262
458	3607	4252
459	3612	4240
460	3616	4228
461	3623	4218
462	3634	4215
463	3640	4205
464	3645	4194
465	3655	4188
466	3661	4178
467	3667	4169
468	3676	4162
469	3682	4152
470	3690	4144
471	3695	4134
472	3704	4127
473	3709	4116
474	3718	4110
475	3727	4103
476	3736	4097
477	3742	4087
478	3750	4079
479	3756	4069
480	3763	4060
481	3769	4050
482	3786	4052
483	3802	4053
484	3812	4047
485	3824	4045
486	3843	4048
487	3857	4047
488	3871	4046
489	3884	4043
490	3891	4034
491	3899	4026
492	3904	4015
493	3910	4005
494	3922	4001
495	3928	3992
496	3934	3982
497	3940	3972
498	3950	3966
499	3956	3956
500	3962	3946
501	3969	3937
502	3974	3926
503	3980	3916
504	3987	3908
505	3992	3898
506	3999	3889
507	4006	3880
508	4016	3874
509	4024	3866
510	4029	3856
511	4034	3845
512	4040	3835
513	4048	3828
514	4053	3817
515	4057	3806
516	4064	3797
517	4070	3787
518	4077	3778
519	4087	3773
520	4094	3764
521	4106	3760
522	4112	3750
523	4118	3741
524	4124	3731
525	4129	3721
526	4135	3711
527	4142	3703
528	4148	3694
529	4156	3685
530	4165	3678
531	4173	3670
532	4180	3663
533	4189	3655
534	4195	3646
535	4202	3637
536	4208	3628
537	4214	3619
538	4221	3610
539	4229	3602
540	4237	3594
541	4244	3586
542	4251	3578
543	4258	3569
