iter	Logloss
0	0.6763123493
1	0.6600897957
2	0.6441922984
3	0.6288552583
4	0.6144408289
5	0.6000461321
6	0.5861543783
7	0.5733978515
8	0.5608380168
9	0.5489123313
10	0.5375420517
11	0.5255898054
12	0.5149358562
13	0.5048594267
14	0.4951919395
15	0.4859730283
16	0.4769042011
17	0.4683222084
18	0.4604060778
19	0.4525447132
20	0.4450778407
21	0.4381973148
22	0.4310563819
23	0.4242716189
24	0.417988634
25	0.4120057594
26	0.405427201
27	0.3999525269
28	0.3936630779
29	0.3875307448
30	0.381954619
31	0.3772230188
32	0.3720862642
33	0.367181703
34	0.3623234948
35	0.3583620997
36	0.3540607843
37	0.3497561423
38	0.3463517917
39	0.3430675083
40	0.3399257667
41	0.3359950247
42	0.3328203241
43	0.3295420394
44	0.3257034447
45	0.3223422753
46	0.3191077689
47	0.3162943964
48	0.3141089533
49	0.3113853491
50	0.3091546723
51	0.3069600249
52	0.3042087581
53	0.3016839786
54	0.2999071655
55	0.2981113679
56	0.2963813165
57	0.294092529
58	0.2920273376
59	0.2898802591
60	0.2881083177
61	0.2860614821
62	0.2841442317
63	0.2827122992
64	0.2811269633
65	0.2794124967
66	0.2778279084
67	0.2761064957
68	0.2744694624
69	0.2728423075
70	0.2716477523
71	0.2705536956
72	0.2692883757
73	0.2680687553
74	0.2668543627
75	0.2659809677
76	0.2648469236
77	0.2640519291
78	0.2629304291
79	0.2621221824
80	0.2609230957
81	0.2598115062
82	0.2586262298
83	0.2578101105
84	0.256818786
85	0.2558487197
86	0.2549796856
87	0.2540521299
88	0.2531260702
89	0.2523661602
90	0.2517329233
91	0.2509827843
92	0.2501188095
93	0.2494311556
94	0.2487577673
95	0.2480849532
96	0.2472886525
97	0.2465102736
98	0.2457525986
99	0.2450978985
100	0.2445056155
101	0.2438804647
102	0.2434806524
103	0.2428180016
104	0.2420165231
105	0.2415802987
106	0.2410015039
107	0.2404863529
108	0.2398273435
109	0.2393793142
110	0.238824982
111	0.2383764603
112	0.2377744197
113	0.2372319467
114	0.2367362691
115	0.2363317549
116	0.2356156754
117	0.2349708716
118	0.2346200152
119	0.2340937869
120	0.2334291726
121	0.233140976
122	0.2326622292
123	0.2321804944
124	0.2317236069
125	0.2314428458
126	0.2308565248
127	0.230441176
128	0.2300643564
129	0.2296234909
130	0.2291297391
131	0.2287187958
132	0.2284659201
133	0.2281178708
134	0.2277782086
135	0.2274958682
136	0.2271948189
137	0.2267937169
138	0.2264274364
139	0.22603606
140	0.2256798822
141	0.2253395163
142	0.225036005
143	0.2246676135
144	0.2244046239
145	0.2238775878
146	0.2235081936
147	0.223125716
148	0.2228637483
149	0.2225318679
150	0.2221173489
151	0.2218042818
152	0.2214525613
153	0.221082396
154	0.2207626319
155	0.2203975572
156	0.2200597783
157	0.2196235872
158	0.2193324934
159	0.2190307454
160	0.2187586306
161	0.2183716751
162	0.2178938975
163	0.2175261503
164	0.217193894
165	0.2169982854
166	0.2166816858
167	0.2164141223
168	0.2162208012
169	0.2158542247
170	0.215529257
171	0.215249425
172	0.2150069023
173	0.214712826
174	0.2145072513
175	0.2142011343
176	0.2139299077
177	0.2137049884
178	0.213519186
179	0.2132449282
180	0.2129993094
181	0.2127361917
182	0.212457733
183	0.212179235
184	0.211855441
185	0.2115225449
186	0.2112129882
187	0.2109731723
188	0.2107569195
189	0.2104738462
190	0.2101892627
191	0.2098820301
192	0.2096055355
193	0.2093974433
194	0.2091721334
195	0.2089117863
196	0.2085903085
197	0.2084288158
198	0.2081571322
199	0.2079359472
200	0.2076514245
201	0.2073734426
202	0.2069674786
203	0.2068135728
204	0.2065095793
205	0.2062482874
206	0.206123787
207	0.2058867301
208	0.2056466296
209	0.2054762548
210	0.2052137863
211	0.2049420668
212	0.204786956
213	0.2044612708
214	0.2042309989
215	0.2040018935
216	0.2037659994
217	0.2033988583
218	0.2031135579
219	0.20282222
220	0.2025561983
221	0.2023795594
222	0.2021421277
223	0.2019332577
224	0.2016348352
225	0.2014900631
226	0.2012097882
227	0.2009703245
228	0.2007777897
229	0.2004883982
230	0.2001652055
231	0.199806089
232	0.1994370258
233	0.199125955
234	0.1988147181
235	0.1984372209
236	0.1982018135
237	0.197926224
238	0.1977407596
239	0.197559021
240	0.1972681413
241	0.1971148415
242	0.1967347764
243	0.1965898797
244	0.1962746705
245	0.1961418267
246	0.1958496984
247	0.1956199904
248	0.1954372017
249	0.1952115301
250	0.1949162453
251	0.1947811126
252	0.1944639897
253	0.1941358476
254	0.1938425646
255	0.1935705171
256	0.1934043286
257	0.1931415965
258	0.1929331988
259	0.1926706241
260	0.1925348012
261	0.1922224296
262	0.1919021391
263	0.1915921309
264	0.1913523405
265	0.1912059187
266	0.1908401252
267	0.1906985843
268	0.1905194879
269	0.1902664959
270	0.1900064425
271	0.1898080242
272	0.1896074899
273	0.1893793698
274	0.1891636759
275	0.1889969645
276	0.1885861014
277	0.188428407
278	0.1882426032
279	0.1879224585
280	0.1877371996
281	0.1875162993
282	0.1873224824
283	0.1869779238
284	0.1867762398
285	0.1864813872
286	0.1863061616
287	0.1860609805
288	0.1857584596
289	0.1855219865
290	0.1852948319
291	0.1849405579
292	0.1845765402
293	0.1844072167
294	0.184089483
295	0.1839220267
296	0.1836685733
297	0.1834817422
298	0.1833164049
299	0.1830826732
300	0.1828846901
301	0.1827522203
302	0.1824800487
303	0.1823393417
304	0.1821546834
305	0.1819883001
306	0.1817569701
307	0.1816230929
308	0.1813573559
309	0.1812378261
310	0.1810646862
311	0.1808625565
312	0.1806508957
313	0.180291929
314	0.180130248
315	0.1798400263
316	0.1794901745
317	0.1791206706
318	0.1789501301
319	0.1787513851
320	0.1785451699
321	0.1783015158
322	0.1780905283
323	0.1778007072
324	0.1776226552
325	0.1774284322
326	0.1772207766
327	0.1771242158
328	0.1769032772
329	0.1766130526
330	0.1764284838
331	0.1762242449
332	0.1760356062
333	0.1758787034
334	0.1755811369
335	0.1753608827
336	0.1750751228
337	0.1747979086
338	0.1746934596
339	0.174529459
340	0.1743178083
341	0.1741553592
342	0.1739782248
343	0.1737634996
344	0.1735314379
345	0.1733627088
346	0.1731702209
347	0.1729875711
348	0.1727008365
349	0.1725257087
350	0.1723115409
351	0.1721792137
352	0.1720329375
353	0.1718792706
354	0.1717725797
355	0.1715394359
356	0.171389086
357	0.1712191757
358	0.1709552805
359	0.1707454374
360	0.1705288186
361	0.1704165495
362	0.1701775225
363	0.1699426381
364	0.1697873188
365	0.1696615255
366	0.1694751086
367	0.1692079518
368	0.169000116
369	0.1687304566
370	0.168484874
371	0.1683397506
372	0.168031906
373	0.167861871
374	0.1677067855
375	0.1675109245
376	0.1673545563
377	0.1672044038
378	0.1670850929
379	0.1667896736
380	0.1665229118
381	0.1663004081
382	0.1660989032
383	0.1658245809
384	0.1656773011
385	0.1654847941
386	0.1651641955
387	0.1649829058
388	0.164853269
389	0.1646117689
390	0.1644290578
391	0.1642926879
392	0.1639854876
393	0.1637528841
394	0.163476223
395	0.163240034
396	0.1629593592
397	0.1628605784
398	0.1625769454
399	0.162359833
400	0.1621565651
401	0.1619586422
402	0.1618514348
403	0.1616561921
404	0.1614956016
405	0.1613397048
406	0.1611792703
407	0.1609801709
408	0.1608258689
409	0.1606667213
410	0.1604677414
411	0.1602311159
412	0.1600735168
413	0.1598820024
414	0.159692317
415	0.1595862269
416	0.1594164471
417	0.1592413745
418	0.1589447734
419	0.1587206055
420	0.1585609623
421	0.1584219761
422	0.1581533767
423	0.1580487221
424	0.1579609072
425	0.1577151903
426	0.1575061315
427	0.1573120647
428	0.1571320855
429	0.1569538872
430	0.1568503756
431	0.1567308208
432	0.1565967727
433	0.1563499924
434	0.1561708577
435	0.1560042321
436	0.155793187
437	0.1556364502
438	0.1555331751
439	0.1553383023
440	0.1551216861
