,총지수,식료품 및 에너지제외 지수,식료품 및 에너지
2016.09,96.247,96.642,94.874
2016.10,96.379,96.604,95.604
2016.11,96.237,96.51,95.287
2016.12,96.342,96.633,95.326
2017.01,97.366,97.228,97.891
2017.02,97.632,97.483,98.208
2017.03,97.565,97.502,97.833
2017.04,97.442,97.597,96.872
2017.05,97.546,97.786,96.69
2017.06,97.338,97.729,95.988
2017.07,97.499,97.984,95.748
2017.08,98.058,98.126,97.804
2017.09,98.172,97.965,98.966
2017.10,98.077,98.145,97.814
2017.11,97.347,97.805,95.739
2017.12,97.698,97.965,96.719
2018.01,98.106,98.192,97.775
2018.02,98.855,98.608,99.773
2018.03,98.751,98.807,98.592
2018.04,98.931,98.996,98.736
2018.05,98.979,99.137,98.467
2018.06,98.779,98.958,98.121
2018.07,98.59,98.967,97.237
2018.08,99.462,99.137,100.657
2018.09,100.221,99.062,104.452
2018.10,100.041,99.137,103.328
2018.11,99.33,99.015,100.523
2018.12,98.988,98.996,98.995
2019.01,98.884,99.223,97.679
2019.02,99.311,99.695,97.958
2019.03,99.121,99.544,97.554
2019.04,99.481,99.695,98.755
2019.05,99.652,99.705,99.514
2019.06,99.491,99.638,98.957
2019.07,99.187,99.837,96.863
2019.08,99.425,99.969,97.468
2019.09,99.794,99.534,100.753
2019.10,100.041,99.761,101.061
2019.11,99.481,99.534,99.312
2019.12,99.719,99.62,100.081
2020.01,100.09,99.84,100.97
2020.02,100.16,100.07,100.46
2020.03,99.94,99.75,100.6
2020.04,99.5,99.79,98.51
2020.05,99.44,99.93,97.73
2020.06,99.71,100.02,98.64
2020.07,99.63,100.17,97.76
2020.08,100.19,100.36,99.62
2020.09,100.74,100.16,102.76
2020.10,100.18,99.5,102.55
2020.11,100.09,100.16,99.84
2020.12,100.33,100.26,100.56
2021.01,101.04,100.56,102.7
2021.02,101.58,100.7,104.65
2021.03,101.84,100.82,105.41
2021.04,101.98,101.01,105.36
2021.05,102.05,101.12,105.27
2021.06,102.05,101.14,105.23
2021.07,102.26,101.45,105.04
2021.08,102.75,101.7,106.38
2021.09,103.17,101.58,108.66
2021.10,103.35,101.83,108.65
2021.11,103.87,102.06,110.13
2021.12,104.04,102.51,109.39
2022.01,104.69,103.16,110.0
2022.02,105.3,103.59,111.24
2022.03,106.06,103.72,114.22
2022.04,106.85,104.11,116.36
2022.05,107.56,104.6,117.85
2022.06,108.22,105.04,119.26
2022.07,108.74,105.43,120.23
2022.08,108.62,105.76,118.54
2022.09,108.93,105.71,120.12
