date,downturn,k_s - p_s,price_month,kospi_month,경제활동인구,예금수신금리,식료품제조업생산지수,음료제조업생산지수,소비자동향조사,주택매매가격지수,재별 및 상품군별 판매액지수,동행종합지수(2015=100),광공업생산지수(전월비)(%),소매판매액지수(전월비)(%),후행종합지수(2015=100),소비재수입액(전월비)(%),소비자물가지수,농축수산물_물가,기타농산물_물가,내구재_물가,kospi전일대비월평균,전일대비등락률_월평균,kospi거래량_m,한국은행기준금리,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타,미국금리,연준금리,gv_3y,gv_5y,gv_10y,cb_3y,CD 91물(평균),callint,기준금리,DJ,Nasdaq,S&P
2021-12,1,0.07692176905,4591.363636,2988.494091,3.8,1.7,121,98,103.8,104.6,123.2,119.5,1.8,0.6,123.8,1.9,104.04,110.3,109.16,101.96,6.301818182,0.2218181818,484800.6364,1,87.89,85.69,83.54,85.87,84.94,65.78,77.63,0.0025,0.25,1.8,1.98,2.19,2.41,1.27,1.01,1,35641.33381,15474.43173,4674.772772
2022-01,0,-0.2208826197,4986.75,2865.552,3.6,1.65,115.2,101.5,104.4,104.7,120.7,120.4,1.8,-0.2,124.3,4.4,104.69,112.31,112.36,102.47,-15.7155,-0.5475,546281,1.25,98.08,96.18,95.69,99.16,97.85,76.1,84.42,0.0025,0.25,2.06,2.28,2.49,2.63,1.39,1.19,1.25,35456.14473,14531.37749,4573.815454
2022-02,0,-0.3227251977,5638.888889,2724.015,2.7,1.7,98.8,90.5,103.1,104.8,120.7,120.8,1.4,0,124.9,3.1,105.3,111.72,108.62,102.43,1.991111111,0.08222222222,562107.6111,1.25,110.81,108.31,106.2,110.77,110.04,82.6,95.48,0.0025,0.25,2.29,2.5,2.69,2.87,1.5,1.22,1.25,34648.48026,13898.72841,4435.980494
2022-03,1,0.04778909158,5451.904762,2698.71619,2.7,1.74,118.2,105.5,103.2,104.8,119.9,120.8,0.6,-0.9,125.4,1,106.06,109.89,109.74,102.16,2.784285714,0.1076190476,686066.0476,1.25,131.15,127.46,133.47,141.75,137.52,103.06,110.58,0.0025,0.25,2.37,2.6,2.78,3.03,1.5,1.24,1.25,34029.74066,13623.26295,4391.265264
2022-04,0,-0.02356493118,5528.571429,2703.242857,2.7,1.87,114.3,103.3,103.8,104.8,119.6,120.7,-0.6,-0.2,125.9,-0.4,106.85,110.42,108.56,102.71,-2.980952381,-0.1061904762,1048851.857,1.5,126.95,123.53,134.42,148.83,139.49,111.12,96.55,0.005,0.5,2.94,3.14,3.22,3.63,1.64,1.3,1.5,34314.99004,13394.16304,4391.295996
2022-05,1,0.09746371274,5101.666667,2628.338571,2.8,2.02,117.6,114.1,102.6,104.8,119.5,121,-0.6,-0.3,126.3,0.7,107.56,112.45,108.28,102.5,-0.4357142857,-0.01047619048,803238.2857,1.75,147,141.21,142.99,153.47,145.55,104.49,94.69,0.005,0.5,3.02,3.23,3.3,3.78,1.77,1.51,1.75,32379.4628,11829.72954,4040.360003
2022-06,1,0.1634215733,4232.75,2424.412,2.9,2.41,114.1,114,96.4,104.8,118.3,121.4,-0.4,-0.5,127,-0.1,108.22,111.8,105.42,102.45,-12.11933333,-0.4746666667,530452.4,1.75,155.2,148.85,164.32,176.83,168.54,99.05,84.34,0.01,1,3.48,3.65,3.64,4.23,1.99,1.75,1.75,31446.7128,11418.91908,3898.946684
2022-07,1,0.09974941002,3825.238095,2362.794762,2.9,2.93,113,117.4,86,104.8,117.8,122.2,0.3,-0.5,127.7,1.5,108.74,114.4,105.13,102.88,5.66,0.2419047619,378840.619,2.25,121.72,116.55,134.9,145.34,137.12,79.42,81.62,0.0175,1.75,3.24,3.3,3.3,4.13,2.41,1.97,2.25,31535.32334,11622.63154,3911.729492
2022-08,1,0.01076832409,4022.5,2479.571364,2.5,2.98,117.1,118.9,88.8,104.5,122.9,123.1,-0.5,1,128.4,2.9,108.62,116.74,106.66,102.89,0.9340909091,0.04227272727,443996.5909,2.5,110.9,107.19,132.2,139.7,134.29,78.22,71.99,0.025,2.5,3.25,3.3,3.32,4.23,2.79,2.26,2.5,33009.56488,12570.2604,4158.563084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30649.55952,11402.84998,3850.520496
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,1.75,,,,,,,,,,,,,29864.16434,10711.8335,3673.352121
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,1.75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,1.75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,1.75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,1.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,1.75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,2.5,,,,,,,,,,,,,,,
