,month,Close
0,2000-01,11281.262939453125
1,2000-02,10541.9294921875
2,2000-03,10483.390497622282
3,2000-04,10944.310392680922
4,2000-05,10580.267755681818
5,2000-06,10582.925914417614
6,2000-07,10662.96298828125
7,2000-08,11014.512100883152
8,2000-09,10967.867529296875
9,2000-10,10440.964089133522
10,2000-11,10666.06384858631
11,2000-12,10652.51201171875
12,2001-01,10682.740931919643
13,2001-02,10774.574681332237
14,2001-03,10081.319513494318
15,2001-04,10234.515966796875
16,2001-05,11004.956365411932
17,2001-06,10767.198056175595
18,2001-07,10444.500418526786
19,2001-08,10314.6826171875
20,2001-09,9042.560546875
21,2001-10,9220.7509765625
22,2001-11,9721.819521949405
23,2001-12,9979.88193359375
24,2002-01,9923.802408854166
25,2002-02,9891.046823601973
26,2002-03,10500.9505859375
27,2002-04,10165.182750355114
28,2002-05,10080.484064275568
29,2002-06,9492.435986328124
30,2002-07,8616.522793856535
31,2002-08,8685.48037997159
32,2002-09,8160.776049804687
33,2002-10,8048.121773097826
34,2002-11,8625.724462890625
35,2002-12,8526.659505208334
36,2003-01,8474.585704985118
37,2003-02,7916.183670847039
38,2003-03,7977.734770275298
39,2003-04,8332.08628627232
40,2003-05,8623.41466703869
41,2003-06,9098.072823660714
42,2003-07,9154.394575639204
43,2003-08,9284.778552827382
44,2003-09,9492.537109375
45,2003-10,9682.458729619566
46,2003-11,9762.20060649671
47,2003-12,10124.659046519886
48,2004-01,10540.04697265625
49,2004-02,10601.498972039473
50,2004-03,10323.728260869566
51,2004-04,10418.404250372023
52,2004-05,10083.80546875
53,2004-06,10364.900948660714
54,2004-07,10152.087565104166
55,2004-08,10032.80135830966
56,2004-09,10204.67052641369
57,2004-10,10001.60239955357
58,2004-11,10411.756184895834
59,2004-12,10673.384055397728
60,2005-01,10539.513037109375
61,2005-02,10723.815789473685
62,2005-03,10682.093128551136
63,2005-04,10283.186058407739
64,2005-05,10377.17908296131
65,2005-06,10486.682350852272
66,2005-07,10545.37587890625
67,2005-08,10554.271696671196
68,2005-09,10532.54431733631
69,2005-10,10324.313290550595
70,2005-11,10695.249488467261
71,2005-12,10827.794735863095
72,2006-01,10872.482080078125
73,2006-02,10971.186215049342
74,2006-03,11144.450025475544
75,2006-04,11234.67521587171
76,2006-05,11333.878196022728
